	Name	Info	Website	Year of foundation	Category	Province	Town
0	1QBit	1QB Information Technologies, Inc. is a quantum computing software company.	http://1qbit.com	 			
1	3 Tier Logic	Provider of digital media marketing technology. The company offers a cloud-based proprietary consumer marketing, data mining and rewards platform.	http://3tierlogic.com/	Founded in 2013			
2	A few data points	We pair companies and non-profits with big ideas with our open community of machine learning and data science enthusiasts to create impactful data science products.	https://afewdatapoints.com/	 			
3	AK Robotics	 	https://www.aandkrobotics.com/	 			
4	Acerta	Acerta analyzes the data from modern vehicles hundreds of sensors and control units that collect data every millisecond, to detect anomalies and predict future failures. Using state of the art machine learning and statistical analysis, we learn a profile of normal vehicle behaviour. We then use this profile to identify emerging vehicle issues. We work with manufacturers and suppliers to improve their products and reduce recalls.	http://aandkrobotics.com	 			
5	Acerta Systems Analytics	Provider of an online data analytics platform. The company offers a Web-based machine intelligence software platform that turns raw machine data into informed decisions.	http://acerta.ca/	Founded in 2015			
6	acquisio	Performance Marketing Solutions for Local Businesses and the Agencies that Serve Them	http://www.acquisio.com	Founded in 2003	Marketing / Médias sociaux	QC	Brossard
7	AcuityAds	AcuityAds is a technology company that enables marketers to connect intelligently with the most meaningful audiences through digital media.	http://www.acuityads.com	Founded in 2009			
8	Ada Support	Ada is a customer support automation company that enables teams to easily leverage machine learning to provide instant answers to their questions in chat.	http://ada.support	 			
9	Advolv	Advolv makes building cost-effective, objective-based, targeted Twitter Ads campaigns as simple as ‘copy and paste.’	http://advolv.com/	 			
10	aerial	Aerial creates technology that understands a person’s movements like never before. They are introducing the next generation of device-free, ambient Indoor Activity Recognition. They build intelligent activity profiles individuals as they interact with wireless signals that already exist in the environment. For the first time, a person’s location, gestures and activities can be turned into a personalized signature as unique as their own fingerprint. Aerial is a revolution in home automation systems that provides a cloud-based, user-oriented, ambient intelligent platform that recognizes and learns people’s activities.	http://www.aerial.ai/	Founded in 2015	Santé / Télésanté	QC	Montréal
11	Affinio	Provider of social media analytics. The company operates a marketing intelligence platform that provides graph data analysis to their clients.	http://www.affinio.com/	Founded in 2013			
12	Ai +strategy	AI +strategy offers a range of strategic business AI systems that augment the decision-making process, discover hidden opportunities and leads to greater company performance and profitability. Our AI systems are trained by leading industry experts and grow in capability by machine learning and user feedback. Custom AI solutions are even more capable as they have a feedback loop from the initial strategy to actual real-world results. Over time the AI will become increasingly accurate, resulting in increased performance and greater profitability.	https://aistrategy.co/	Founded in 2016			
13	Aida	Aida is pioneering AI technologies that will transform the customer service industry. By applying advances in machine learning and natural language processing, we empower customer service agents to deliver faster and better service. The high volume of knowledge and content created through conversation with customers is incredibly valuable. Aida’s mission is to make that knowledge easily accessible through an AI-powered interaction model.	http://helloaida.io/	 			
14	aimetis	Aimetis, a Senstar company, is a software company offering integrated intelligent video management solutions for security surveillance and business intelligence applications.	http://www.aimetis.com/	Founded in 2003			
15	Airy3D	Optical modification of standard CMOS sensors to provide simulatneous 2D and 3D (depth) images from a single sensor. Partnering with several major camera manufacturers.	http://www.airy3d.com/	 	Vidéo 3D / Réalité virtuelle/augmentée	QC	Montréal
